hyhg,course_code,course_title,credit,instructor,time,room,quota,participants,major_quota,second_major,grande_1,grade_2,grade_3,grade_4,exchange_student,max_mileage,min_result,max_result,average
20161,ECO2114-01-00,경제수학(2),3,정필권,"수5,금5,6",상본B103,66,23,33,N,0,39,17,10,O,18,1,18,7.13
20161,ECO3101-01-00,게임이론과응용,3,한순구,"금2,3,4",상본B120,131,247,63,Y,0,13,46,72,O,18,1,18,14.9
20161,ECO3101-02-00,게임이론과응용,3,김영세,"화2,3,목1",상본B121,100,75,50,N,0,10,35,55,X,18,1,18,13.52
20161,ECO3104-01-00,계량경제학(1),3,유병삼,"화2,3,목1",상본101,100,129,50,N,0,10,35,55,O,18,1,18,15.57
20161,ECO3104-02-00,계량경제학(1),3,정진욱,"월7,8,수8",상본112,100,47,50,N,0,10,35,55,X,18,1,18,9.98
20161,ECO3106-01-00,노동경제학,3,최강식,"화5,6,목4",상본101,100,102,50,Y,0,10,35,55,O,18,1,18,11.97
20161,ECO3108-01-00,수리경제학,3,박재옥,"화8,9,목7",상본B103,66,45,33,Y,0,7,23,36,O,18,1,18,9.02
20161,ECO3109-01-00,자원및환경경제학,3,신의순,"월7,8,수8",상본110,66,27,33,N,0,7,23,36,O,18,1,18,11.04
20161,ECO3110-01-00,재정학,3,이경우,"월3,4,수4",상본B120,100,65,50,Y,0,10,35,55,O,18,1,18,11.55
20161,ECO3110-02-00,재정학,3,박태규,"월7,8,수8",상본101,100,67,50,N,0,10,35,55,O,18,1,18,11.55
20161,ECO3110-03-00,재정학,3,윤건영,"화8,9,목7",상본B109,66,12,33,N,0,7,23,36,O,18,1,18,10.25
