course_code,course_title
MST4570,바이오재료
MST4590,비정질재료
MST4610,반도체소자
MST4620,연료전지공학
CEE2101,정역학및재료역학기초
CEE3201,기초유체역학
CEE3330,환경공학및실험
CEE3423,토목공학현장실습
CEE3401,구조해석
CEE3402,콘크리트구조거동
CEE3403,토질역학
CEE3404,수리학
CEE3414,물리화학적수처리공학
CEE3420,지형공간정보학
CEE4408,건설관리
CEE4201,사회기반시스템종합설계
CEE3203,생태공학
CEE3417,기초공학
CEE3419,지형공간탐측학
CEE4402,구조시스템설계
CRP2300,도시계획
CRP2340,환경과계획
CRP2630,도시형태및역사
CRP2620,교통공학
CRP2101,전산응용
CRP3000,교통체계분석
CRP3610,도시및지역경제
CRP3710,유비쿼터스시티계획
CRP3730,테마형산업문화단지계획및설계
CRP3790,부동산개발분석
CRP4870,도시설계개론
CRP3101,창의도시공학실습
CRP3630,커뮤니티재생계획및설계
CRP3650,도시연구방법
CRP3660,단지교통계획
CRP3670,도시및사회기술시스템
ARC2503,건축학개론
ARC2201,건축구조의이해
ARC2302,건축열환경공학
ARC3304,건설기술입문
ARC2301,서양건축사
ARC3201,건축구조해석
ARC3204,철골구조해석
ARC3210,건축공기환경
ARC3307,건축재료
ARC4202,급배수위생설비
ARC4303,미래건축진로탐색
ARC4201,공학종합설계
ARC3208,건설계약및분규해결
ARC3305,건설견적관리
ARC4206,철근콘크리트구조설계
ARC2103,건축설계1
ARC2501,기초건축설계2
ARC3403,건축열환경계획
ARC3506,동양건축사
ARC3105,건축설계3
ARC3309,건축설비
ARC3402,현대건축
ARC3508,도시설계론
ARC3509,건축형태와구조
ARC3107,건축설계5
ARC4121,건축실무
ARC4109,건축설계7
ARC3513,건축기획
DAA2140,생물학입문
DAA2001,주니어세미나(나노다공체의다양한응용분야탐방)
DAA3210,공업물리화학(1)
DAA3230,화공양론
DAA3240,공업유기화학
DAA4300,유체이동현상
DAA4310,반응공학
DAA2120,화공실험(1)
DAA3250,화공열역학(1)
DAA3700,생물화학공학
DAA4330,물질이동론
DAA4340,화공종합설계(1)
DAA2230,화공실험(3)
DAA3670,에너지공학
DAA3690,환경공학
DAA3780,반도체공정개론
DAA3810,생체재료공학
DAA3830,양자화학공학
IIT1001,고급프로그래밍
IIT2102,융합수학(2)
IIT2003,재료
IIT3016,센서
IIT3301,컴퓨터시스템및시스템프로그래밍
IIT3302,전자기및파동
IIT3303,피드백시스템
IIT4202,통섭연구(1)
IIT4201,나노공정프로젝트
IIT4203,HW프로젝트
IIT4302,멀티미디어신호처리
IIT4304,데이터마이닝개론
